,E,N,namewithoutadditions
10831,2709651.459,1276584.834,Weierhof
10832,2690686.053,1276536.083,Schwerzi
10833,2732598.728,1276514.353,Liebburg
10834,2695459.817,1276553.508,Berghof
10835,2696817.383,1276529.363,Eichi
10836,2715393.072,1276511.753,Mühle
10837,2698729.618,1276481.309,Dachsbühl
10838,2710793.659,1276441.994,Eggmühle
10839,2724279.506,1276440.914,Schmeckwies
10840,2707177.846,1276380.438,Hirschensprung
10841,2710361.725,1276428.559,Reutershaus
10842,2734741.344,1276343.671,Chaspersberg
10843,2721503.363,1276327.715,Kodenreuti
10844,2713176.794,1276338.536,Weidhof
10845,2717123.837,1276308.58,Oberkappel
10846,2700472.89,1276256.813,Rietmüli
10847,2692157.702,1276257.998,Mattenhof
10848,2690643.312,1276266.683,Brunnehof
10849,2715572.584,1276153.53,Hasenreute
10850,2711849.861,1276138.663,Meienberg
10851,2721057.714,1276131.721,Erlengrund
10852,2694085.703,1276090.667,Bruggbüel
10853,2694804.676,1276086.913,Krähenbuck
10854,2715131.345,1276083.623,Rittbrunnen
10855,2705009.535,1276059.792,Buck
10856,2693510.661,1276053.443,Weierhof
10857,2692057.637,1276047.608,Im Türni
10858,2720270.375,1276044.498,Wiel
10859,2709390.164,1275982.017,Bannholz
10860,2699532.62,1275954.155,Sommerau
10861,2690566.164,1275917.685,Im Sunnehof
10862,2714114.034,1275893.708,Schweikhof
10863,2716946.358,1276008.631,Unterkappel
10865,2707600.308,1275874.988,Grünegg
10866,2695961.628,1275883.048,Goldbuck
10867,2720938.391,1275871.503,Hangetloo
10868,2716373.287,1275946.137,Oberhörstetten
10869,2735589.196,1275861.465,Waldhof
10870,2697543.034,1275834.413,Sunnehof
10871,2738053.919,1275827.27,Seealp
10872,2714843.931,1275880.759,Kreuzmoos
10873,2703075.028,1275790.598,Lindenhof
10874,2700864.993,1275762.579,Neuhof
10875,2717221.498,1275768.252,Sägi
10876,2735895.239,1275763.944,Neuhof
10877,2700449.778,1275727.064,Schwandegg
10878,2717479.673,1275703.539,Bühl
10879,2696418.06,1275681.246,Husemerbüel
10880,2736883.77,1275656.447,Rigishus
10881,2738856.065,1275548.512,Soor
10882,2736230.263,1275588.921,Aspehof
10883,2716437.938,1275589.683,Rank
10884,2734345.942,1275574.104,Martinsmühle
10885,2694166.763,1275578.489,Dachsenhausen
10886,2721716.25,1275536.644,Feldgarten
10887,2698669.944,1275499.065,Grundhof
10888,2736572.757,1275477.589,Laubbach
10889,2695824.566,1275448.68,Riethalde
10890,2726027.778,1275479.761,Oberstöcken
10891,2703115.841,1275470.474,Erlenhof
10892,2717084.248,1275450.543,Degenhart
10893,2697160.901,1275396.95,Rosenhof
10894,2738745.868,1275413.991,Seefeld
10895,2722605.241,1275389.229,Häglishag
10896,2704764.886,1275393.525,Tobelbrunnen
10897,2735821.426,1275352.03,Neuwinkeln
10898,2715134.138,1275327.947,Bleiche
10899,2702408.873,1275255.969,Lärchenhof
10900,2738404.805,1275237.41,Roo
10901,2727355.699,1275202.997,Mühlehof
10902,2722256.555,1275317.942,Hefenhausen
10903,2702144.034,1275161.81,Hardhof
10905,2716351.465,1275293.242,Bethlehem
10906,2721571.614,1275161.35,Lipperswil
10907,2738392.188,1275129.261,Sunnehalde
10908,2725881.788,1275113.183,Rank
10909,2690401.31,1275114.18,Nidermartel
10910,2723543.599,1275118.142,Weierhüsli
10911,2714262.667,1275094.797,Burg
10912,2703816.544,1275082.794,Mattenhof
10913,2734737.202,1275199.514,Schönenbaumgarten
10914,2714495.508,1275052.4,Lochmühle
10915,2696466.486,1275043.026,Kastelhof
10916,2700412.157,1275021.412,Halden
10917,2702646.522,1274993.835,Fürstgrüt
10918,2720599.211,1274977.269,Storenberg
10919,2739891.164,1274871.148,Rotfarb
10920,2697184.985,1274885.774,Im Eschi
10921,2704801.411,1274889.929,Riethof
10922,2723633.785,1274895.481,Weierhof
10923,2690690.243,1274847.742,Laubere
10924,2700612.449,1274853.035,Loo
10925,2732225.003,1274903.091,Blatten
10926,2714978.156,1274839.315,Ratzebüel
10927,2690910.594,1274762.822,Im Ifang
10928,2701831.577,1274715.258,Felderen
10929,2726540.07,1274741.643,Halden
10930,2734499.918,1274741.731,Mattenhof
10931,2726071.212,1274727.973,Holzmannshaus
10932,2731733.989,1274722.041,Städeli
10933,2721222.372,1274738.076,Fischerhüsli
10934,2703544.674,1274720.364,Horn
10935,2700860.275,1274734.063,Freienbüel
10936,2695525.259,1274720.214,Wilhof
10937,2722350.042,1274753.667,Hoorüüti
10938,2706690.632,1274649.282,Haldenhof
10939,2720245.806,1274674.283,Lamperswil
10940,2714499.403,1274638.026,Reute
10941,2701545.259,1274655.963,Unterbuch
10942,2732349.106,1274651.13,Hüsli
